post_id	post_name	status	price_from	price_to
13682	villa-darcy	draft	4500000	4500000
13703	13682-revision-v1	inherit	4500000	4500000
13704	prado-estate	draft	2800000	2800000
13725	13704-revision-v1	inherit	2800000	2800000
13726	cala-lenya-villas	draft	2285000	2285000
13727	13726-revision-v1	inherit	2285000	2285000
13737	13726-revision-v1	inherit	2285000	2285000
13738	villa-lisa	draft	3200000	3200000
13757	13738-revision-v1	inherit	3200000	3200000
13883	13682-revision-v1	inherit	4500000	4500000
13884	13704-revision-v1	inherit	2800000	2800000
13903	13659-revision-v1	inherit	2850000	2850000
13904	13704-revision-v1	inherit	2800000	2800000
13905	13738-revision-v1	inherit	3200000	3200000
13906	13726-revision-v1	inherit	2285000	2285000
13949	13645-revision-v1	inherit	699000	699000
13970	13624-revision-v1	inherit	2930000	2930000
13971	13598-revision-v1	inherit	1750000	1750000
13993	13598-revision-v1	inherit	1750000	1750000
14017	13549-revision-v1	inherit	2700000	2700000
14018	13549-autosave-v1	inherit	2700000	2700000
14039	13523-revision-v1	inherit	2170000	2170000
14073	13500-revision-v1	inherit	2900000	2900000
14081	13497-revision-v1	inherit	1075000	1075000
14110	13494-revision-v1	inherit	1500000	1500000
14129	13436-revision-v1	inherit	750000	750000
14142	13356-revision-v1	inherit	900000	900000
14166	13351-revision-v1	inherit	1500000	1500000
14167	13351-revision-v1	inherit	1500000	1500000
14178	13349-revision-v1	inherit	975000	975000
14181	10903-revision-v1	inherit	1300000	1300000
14182	10903-revision-v1	inherit	1300000	1300000
14184	10903-revision-v1	inherit	1300000	1300000
14185	13349-revision-v1	inherit	975000	975000
14186	10330-revision-v1	inherit	2000000	
14188	13105-revision-v1	inherit	2240	5040
14192	10903-revision-v1	inherit	1300000	1300000
14194	13351-revision-v1	inherit	1500000	1500000
14195	13351-revision-v1	inherit	1500000	1500000
14196	13351-revision-v1	inherit	1500000	1500000
14197	13351-revision-v1	inherit	1500000	1500000
14199	10903-revision-v1	inherit	1400000	1400000
14201	13497-revision-v1	inherit	1075000	1075000
