post_id	post_name	status	value
18196	18125-revision-v1	inherit	Villas in Playa d’en Bossa
18197	18125-revision-v1	inherit	Villas in Playa d’en Bossa
18198	18125-revision-v1	inherit	Villas in Playa d’en Bossa
18199	18125-revision-v1	inherit	Villas near Playa d’en Bossa
18200	18125-revision-v1	inherit	Villas near Playa d’en Bossa
18201	18125-revision-v1	inherit	Villas near Playa d’en Bossa
18202	18125-revision-v1	inherit	Villas near Playa d’en Bossa
18203	18125-revision-v1	inherit	Villas near Playa d’en Bossa
18205	18125-revision-v1	inherit	Villas near Playa d’en Bossa
18288	18125-revision-v1	inherit	Villas near Playa d’en Bossa
18291	2818-revision-v1	inherit	Large villa for groups
18345	18125-revision-v1	inherit	Villas near Playa d’en Bossa
18420	18125-revision-v1	inherit	Villas near Playa d’en Bossa
18421	18125-revision-v1	inherit	Villas near Playa d’en Bossa
18422	18125-revision-v1	inherit	Villas near Playa d’en Bossa
18423	18125-revision-v1	inherit	Villas near Playa d’en Bossa
18424	18125-revision-v1	inherit	Villas near Playa d’en Bossa
18425	18125-revision-v1	inherit	Villas near Playa d’en Bossa
18456	18125-revision-v1	inherit	Villas near Playa d’en Bossa
18457	18125-revision-v1	inherit	Villas near Playa d’en Bossa
18458	18125-revision-v1	inherit	Villas near Playa d’en Bossa
18460	18125-revision-v1	inherit	Villas near Playa d’en Bossa
18461	18125-autosave-v1	inherit	Villas near Playa d’en Bossa
18470	2818-revision-v1	inherit	Large villa for groups
18597	18125-revision-v1	inherit	Villas near Playa d’en Bossa
18598	18125-revision-v1	inherit	Villas near Playa d’en Bossa
18599	18125-revision-v1	inherit	Villas near Playa d’en Bossa
18621	18125-revision-v1	inherit	Villas near Playa d’en Bossa
